SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score,saps_precinct_mapped,saps_precinct_name,saps_robbery_with_aggravating_circumstances_q1_2026,saps_robbery_with_aggravating_circumstances_trend,saps_burglary_at_residential_premises_q1_2026,saps_burglary_at_residential_premises_trend,saps_theft_of_motor_vehicle_and_motorcycle_q1_2026,saps_theft_of_motor_vehicle_and_motorcycle_trend,saps_carjacking_q1_2026,saps_carjacking_trend,saps_truck_hijacking_q1_2026,saps_truck_hijacking_trend,lat,lon
MONTANA PARK,9,Theft,7,Theft:7; Stolen and recovered:2,November,Thursday,19,794959.82,88328.87,0,0.0380952380952381,0.0729031148269342,0.0555,False,,,,,,,,,,,,-33.9616843,18.4227666
UMDLOTI BEACH,5,Theft,5,Theft:5,April,Friday,23,1177951.45,235590.29,0,0.0,0.1097302586612993,0.0549,False,,,,,,,,,,,,-29.678043,31.1151176
RUSTENBURG OOS-EINDE,7,Theft,6,Theft:6; Hijack:1,October,Saturday,7,980944.66,140134.95,0,0.019047619047619,0.090786770544662,0.0549,False,,,,,,,,,,,,-25.6567447,27.2491945
GUGULETU,10,Theft,8,Theft:8; Hijack:1; Armed Robbery:1,February,Thursday,10,684381.22,76042.36,1,0.0476190476190476,0.0622702610300961,0.0549,False,,,,,,,,,,,,-33.9822222,18.5683333
NOORDHOEK,15,Theft,15,Theft:15,May,Monday,8,172078.52,11471.9,0,0.0952380952380952,0.013009014199105,0.0541,False,,,,,,,,,,,,-34.102778,18.38
LOEVENSTEIN,13,Theft,13,Theft:13,January,Friday,7,365218.82,28093.76,0,0.0761904761904762,0.0315807140775395,0.0539,False,,,,,,,,,,,,-33.8855556,18.6063889
PIERRE VAN RYNEVELD,13,Theft,13,Theft:13,May,Friday,2,350472.29,26959.41,0,0.0761904761904762,0.0301627390127377,0.0532,False,,,,,,,,,,,,-25.8369444,28.2416667
RANDFONTEIN,10,Theft,10,Theft:10,November,Friday,0,628460.55,62846.06,0,0.0476190476190476,0.0568931237871645,0.0523,False,,,,,,,,,,,,-26.173611,27.694167
BRONKHORSTSPRUIT,9,Theft,9,Theft:9,December,Saturday,11,713269.67,79252.19,0,0.0380952380952381,0.0650480739637674,0.0516,False,,,,,,,,,,,,-25.808056,28.741389
FRANKLIN ROOSEVELT PARK,10,Theft,6,Theft:6; Burglary:1; Attempted Theft:1; SOS:1; Armed Robbery:1,November,Tuesday,4,609480.14,60948.01,0,0.0476190476190476,0.0550680335388339,0.0513,False,,,,,,,,,,,,-26.1491667,27.9863889
SPRINGFIELD,11,Theft,10,Theft:10; Hijack:1,December,Wednesday,7,500213.76,45473.98,0,0.0571428571428571,0.0445613582558248,0.0509,False,,,,,,,,,,,,-29.8205556,30.995
MNANDI AH,10,Theft,9,Theft:9; Hijack:1,July,Friday,2,596771.04,59677.1,0,0.0476190476190476,0.0538459706605791,0.0507,False,,,,,,,,,,,,-25.8853513,28.0753563
SEBENZA,5,Theft,5,Theft:5,November,Saturday,9,1084704.68,216940.94,0,0.0,0.1007639733905743,0.0504,False,,,,,,,,,,,,-33.9842348,18.57204
OVERPORT,7,Theft,6,Theft:6; Armed Robbery:1,January,Sunday,18,883612.42,126230.35,0,0.019047619047619,0.0814276406801244,0.0502,False,,,,,,,,,,,,-29.8344444,31.0016667
LANGEBERG RIDGE,10,Theft,10,Theft:10,September,Saturday,19,585866.98,58586.7,0,0.0476190476190476,0.0527974741542754,0.0502,False,,,,,,,,,,,,-33.8421531,18.6914125
ESCOMBE,10,Theft,9,Theft:9; Burglary:1,October,Tuesday,9,584911.37,58491.14,0,0.0476190476190476,0.0527055860184444,0.0502,False,,,,,,,,,,,,-29.8758002,30.9088069
SALT ROCK,12,Theft,9,Theft:9; Attempted Hijack:2; Armed Robbery:1,March,Monday,4,383245.31,31937.11,0,0.0666666666666666,0.0333140786945645,0.05,False,,,,,,,,,,,,-29.502072,31.237079
BAYSWATER,10,Theft,9,Theft:9; Burglary:1,October,Saturday,13,580241.24,58024.12,0,0.0476190476190476,0.052256522551352,0.0499,False,,,,,,,,,,,,-29.0819444,26.24
HELDERVUE,12,Theft,12,Theft:12,March,Sunday,0,379385.97,31615.5,0,0.0666666666666666,0.0329429779755078,0.0498,False,,,,,,,,,,,,-34.06,18.8216667
VIERLANDEN,11,Theft,9,Theft:9; Burglary:2,February,Monday,2,475988.67,43271.7,0,0.0571428571428571,0.0422319578095789,0.0497,False,,,,,,,,,,,,-33.8134647,18.6576526
WELGEMOED,10,Theft,10,Theft:10,June,Friday,11,553846.83,55384.68,0,0.0476190476190476,0.0497185278346184,0.0487,False,,,,,,,,,,,,-33.8747222,18.6163889
KEW,12,Theft,9,Theft:9; Hijack:3,August,Tuesday,18,352079.11,29339.93,0,0.0666666666666666,0.0303172452385159,0.0485,False,,,,,,,,,,,,-26.1202778,28.0966667
YELLOW WOOD PARK,11,Theft,11,Theft:11,September,Sunday,13,451517.43,41047.04,0,0.0571428571428571,0.0398788884349681,0.0485,False,,,,,,,,,,,,-25.8529761,28.2436276
