STATION,District,Province,total_q1_2026_incidents,top_crime_type,top_crime_count,top_crime_trend,crime_breakdown,saps_only_severity_score
Yeoville,Johannesburg District,Gauteng,113,Robbery with aggravating circumstances,82,Increased,Robbery with aggravating circumstances:82; Burglary at residential premises:5; Theft of motor vehicle and motorcycle:11; Carjacking:15; Truck hijacking:0,0.1992
Kagisho,Frances Baard District,Northern Cape,112,Burglary at residential premises,93,Increased,Robbery with aggravating circumstances:13; Burglary at residential premises:93; Theft of motor vehicle and motorcycle:3; Carjacking:3; Truck hijacking:0,0.1973
Dennilton,Sekhukhune District,Limpopo,112,Burglary at residential premises,79,Increased,Robbery with aggravating circumstances:28; Burglary at residential premises:79; Theft of motor vehicle and motorcycle:2; Carjacking:2; Truck hijacking:1,0.1973
Esikhaleni,King Cetshwayo District,KwaZulu-Natal,112,Burglary at residential premises,67,Decreased,Robbery with aggravating circumstances:40; Burglary at residential premises:67; Theft of motor vehicle and motorcycle:3; Carjacking:2; Truck hijacking:0,0.1973
Kwanobuhle,Nelson Mandela District,Eastern Cape,110,Burglary at residential premises,61,Decreased,Robbery with aggravating circumstances:43; Burglary at residential premises:61; Theft of motor vehicle and motorcycle:1; Carjacking:5; Truck hijacking:0,0.1934
Qonce,Buffalo City District,Eastern Cape,108,Burglary at residential premises,64,Increased,Robbery with aggravating circumstances:44; Burglary at residential premises:64; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.1896
Lebowakgomo,Capricorn District,Limpopo,107,Burglary at residential premises,61,Decreased,Robbery with aggravating circumstances:42; Burglary at residential premises:61; Theft of motor vehicle and motorcycle:2; Carjacking:2; Truck hijacking:0,0.1876
Elsburg,Ekurhuleni District,Gauteng,107,Robbery with aggravating circumstances,43,Decreased,Robbery with aggravating circumstances:43; Burglary at residential premises:28; Theft of motor vehicle and motorcycle:23; Carjacking:12; Truck hijacking:1,0.1876
Mtunzini,King Cetshwayo District,KwaZulu-Natal,106,Burglary at residential premises,54,Increased,Robbery with aggravating circumstances:47; Burglary at residential premises:54; Theft of motor vehicle and motorcycle:1; Carjacking:4; Truck hijacking:0,0.1857
Bekkersdal,West Rand District,Gauteng,106,Robbery with aggravating circumstances,49,Decreased,Robbery with aggravating circumstances:49; Burglary at residential premises:40; Theft of motor vehicle and motorcycle:1; Carjacking:15; Truck hijacking:1,0.1857
Kokstad,Harry Gwala District,KwaZulu-Natal,105,Burglary at residential premises,87,Increased,Robbery with aggravating circumstances:17; Burglary at residential premises:87; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.1838
Bushbuckridge,Ehlanzeni District,Mpumalanga,103,Burglary at residential premises,51,Increased,Robbery with aggravating circumstances:42; Burglary at residential premises:51; Theft of motor vehicle and motorcycle:3; Carjacking:7; Truck hijacking:0,0.1799
Boithuso,Mangaung District,Free State,102,Burglary at residential premises,65,Increased,Robbery with aggravating circumstances:36; Burglary at residential premises:65; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.1779
Mayville-Kzn,eThekwini District,KwaZulu-Natal,102,Theft of motor vehicle and motorcycle,45,Increased,Robbery with aggravating circumstances:32; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:45; Carjacking:2; Truck hijacking:0,0.1779
Etwatwa,Ekurhuleni District,Gauteng,101,Robbery with aggravating circumstances,45,Decreased,Robbery with aggravating circumstances:45; Burglary at residential premises:42; Theft of motor vehicle and motorcycle:3; Carjacking:11; Truck hijacking:0,0.176
Makapanstad,Bojanala District,North West,101,Burglary at residential premises,69,Increased,Robbery with aggravating circumstances:26; Burglary at residential premises:69; Theft of motor vehicle and motorcycle:1; Carjacking:5; Truck hijacking:0,0.176
Umhlali,Ilembe District,KwaZulu-Natal,100,Robbery with aggravating circumstances,56,Increased,Robbery with aggravating circumstances:56; Burglary at residential premises:32; Theft of motor vehicle and motorcycle:9; Carjacking:3; Truck hijacking:0,0.1741
Westenburg,Capricorn District,Limpopo,100,Robbery with aggravating circumstances,52,Increased,Robbery with aggravating circumstances:52; Burglary at residential premises:42; Theft of motor vehicle and motorcycle:6; Carjacking:0; Truck hijacking:0,0.1741
Bishop Lavis,City of Cape Town District,Western Cape,99,Burglary at residential premises,45,Increased,Robbery with aggravating circumstances:44; Burglary at residential premises:45; Theft of motor vehicle and motorcycle:7; Carjacking:3; Truck hijacking:0,0.1721
Zamdela,Fezile Dabi District,Free State,99,Burglary at residential premises,46,Decreased,Robbery with aggravating circumstances:39; Burglary at residential premises:46; Theft of motor vehicle and motorcycle:11; Carjacking:3; Truck hijacking:0,0.1721
Lusikisiki,OR Tambo District,Eastern Cape,99,Robbery with aggravating circumstances,49,Decreased,Robbery with aggravating circumstances:49; Burglary at residential premises:39; Theft of motor vehicle and motorcycle:5; Carjacking:5; Truck hijacking:1,0.1721
Harrismith,Thabo Mofutsanyana District,Free State,98,Burglary at residential premises,72,Increased,Robbery with aggravating circumstances:25; Burglary at residential premises:72; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.1702
Witrivier,Ehlanzeni District,Mpumalanga,98,Burglary at residential premises,51,Increased,Robbery with aggravating circumstances:36; Burglary at residential premises:51; Theft of motor vehicle and motorcycle:8; Carjacking:3; Truck hijacking:0,0.1702
Ventersdorp,Dr Kenneth Kaunda District,North West,97,Burglary at residential premises,76,Increased,Robbery with aggravating circumstances:18; Burglary at residential premises:76; Theft of motor vehicle and motorcycle:3; Carjacking:0; Truck hijacking:0,0.1683
Crystalpark,Ekurhuleni District,Gauteng,97,Robbery with aggravating circumstances,45,Increased,Robbery with aggravating circumstances:45; Burglary at residential premises:27; Theft of motor vehicle and motorcycle:14; Carjacking:11; Truck hijacking:0,0.1683
Maake,Mopani District,Limpopo,95,Burglary at residential premises,59,Decreased,Robbery with aggravating circumstances:33; Burglary at residential premises:59; Theft of motor vehicle and motorcycle:1; Carjacking:2; Truck hijacking:0,0.1644
Hebron,Bojanala District,North West,94,Burglary at residential premises,47,Decreased,Robbery with aggravating circumstances:36; Burglary at residential premises:47; Theft of motor vehicle and motorcycle:4; Carjacking:7; Truck hijacking:0,0.1625
Sundumbili,Ilembe District,KwaZulu-Natal,94,Burglary at residential premises,69,Increased,Robbery with aggravating circumstances:25; Burglary at residential premises:69; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.1625
Calcutta,Ehlanzeni District,Mpumalanga,94,Burglary at residential premises,41,Decreased,Robbery with aggravating circumstances:40; Burglary at residential premises:41; Theft of motor vehicle and motorcycle:5; Carjacking:8; Truck hijacking:0,0.1625
Masoyi,Ehlanzeni District,Mpumalanga,93,Robbery with aggravating circumstances,44,Increased,Robbery with aggravating circumstances:44; Burglary at residential premises:38; Theft of motor vehicle and motorcycle:7; Carjacking:3; Truck hijacking:1,0.1605
Bloemspruit,Mangaung District,Free State,92,Burglary at residential premises,58,Decreased,Robbery with aggravating circumstances:30; Burglary at residential premises:58; Theft of motor vehicle and motorcycle:3; Carjacking:1; Truck hijacking:0,0.1586
Wolmaransstad,Dr Kenneth Kaunda District,North West,91,Burglary at residential premises,58,Increased,Robbery with aggravating circumstances:32; Burglary at residential premises:58; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.1567
Kwa Thema,Ekurhuleni District,Gauteng,90,Burglary at residential premises,46,Increased,Robbery with aggravating circumstances:34; Burglary at residential premises:46; Theft of motor vehicle and motorcycle:2; Carjacking:8; Truck hijacking:0,0.1547
Malamulele,Vhembe District,Limpopo,90,Burglary at residential premises,49,Decreased,Robbery with aggravating circumstances:36; Burglary at residential premises:49; Theft of motor vehicle and motorcycle:0; Carjacking:5; Truck hijacking:0,0.1547
Mount Road,Nelson Mandela District,Eastern Cape,90,Robbery with aggravating circumstances,56,Decreased,Robbery with aggravating circumstances:56; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:9; Carjacking:10; Truck hijacking:0,0.1547
Sonskyn,Mangaung District,Free State,90,Burglary at residential premises,50,Increased,Robbery with aggravating circumstances:39; Burglary at residential premises:50; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.1547
Boschkop,Tshwane District,Gauteng,90,Robbery with aggravating circumstances,31,Increased,Robbery with aggravating circumstances:31; Burglary at residential premises:31; Theft of motor vehicle and motorcycle:25; Carjacking:3; Truck hijacking:0,0.1547
Naledi,Johannesburg District,Gauteng,90,Robbery with aggravating circumstances,35,Decreased,Robbery with aggravating circumstances:35; Burglary at residential premises:28; Theft of motor vehicle and motorcycle:10; Carjacking:17; Truck hijacking:0,0.1547
Ritavi,Mopani District,Limpopo,90,Burglary at residential premises,54,Increased,Robbery with aggravating circumstances:29; Burglary at residential premises:54; Theft of motor vehicle and motorcycle:3; Carjacking:4; Truck hijacking:0,0.1547
Paarl East,Cape Winelands District,Western Cape,89,Burglary at residential premises,47,Decreased,Robbery with aggravating circumstances:37; Burglary at residential premises:47; Theft of motor vehicle and motorcycle:4; Carjacking:1; Truck hijacking:0,0.1528
Atlantis,City of Cape Town District,Western Cape,87,Burglary at residential premises,55,Stabilized,Robbery with aggravating circumstances:29; Burglary at residential premises:55; Theft of motor vehicle and motorcycle:2; Carjacking:1; Truck hijacking:0,0.1489
Conville,Garden Route District,Western Cape,86,Burglary at residential premises,60,Increased,Robbery with aggravating circumstances:26; Burglary at residential premises:60; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.147
Botshabelo,Mangaung District,Free State,86,Burglary at residential premises,53,Increased,Robbery with aggravating circumstances:31; Burglary at residential premises:53; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.147
Musina,Vhembe District,Limpopo,86,Robbery with aggravating circumstances,45,Increased,Robbery with aggravating circumstances:45; Burglary at residential premises:38; Theft of motor vehicle and motorcycle:1; Carjacking:2; Truck hijacking:0,0.147
Maokeng,Fezile Dabi District,Free State,85,Burglary at residential premises,59,Increased,Robbery with aggravating circumstances:21; Burglary at residential premises:59; Theft of motor vehicle and motorcycle:5; Carjacking:0; Truck hijacking:0,0.1451
Goodwood,City of Cape Town District,Western Cape,85,Robbery with aggravating circumstances,37,Decreased,Robbery with aggravating circumstances:37; Burglary at residential premises:27; Theft of motor vehicle and motorcycle:16; Carjacking:5; Truck hijacking:0,0.1451
Hibberdene,Ugu District,KwaZulu-Natal,85,Burglary at residential premises,57,Decreased,Robbery with aggravating circumstances:23; Burglary at residential premises:57; Theft of motor vehicle and motorcycle:3; Carjacking:1; Truck hijacking:1,0.1451
Mahwelereng,Waterberg District,Limpopo,85,Burglary at residential premises,59,Decreased,Robbery with aggravating circumstances:25; Burglary at residential premises:59; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:1,0.1451
Katlehong,Ekurhuleni District,Gauteng,84,Robbery with aggravating circumstances,37,Decreased,Robbery with aggravating circumstances:37; Burglary at residential premises:34; Theft of motor vehicle and motorcycle:2; Carjacking:11; Truck hijacking:0,0.1431
Phuthaditjhaba,Thabo Mofutsanyana District,Free State,84,Burglary at residential premises,43,Decreased,Robbery with aggravating circumstances:39; Burglary at residential premises:43; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.1431
Kwandengezi,eThekwini District,KwaZulu-Natal,83,Robbery with aggravating circumstances,44,Increased,Robbery with aggravating circumstances:44; Burglary at residential premises:33; Theft of motor vehicle and motorcycle:2; Carjacking:4; Truck hijacking:0,0.1412
Putfontein,Ekurhuleni District,Gauteng,83,Robbery with aggravating circumstances,47,Decreased,Robbery with aggravating circumstances:47; Burglary at residential premises:28; Theft of motor vehicle and motorcycle:1; Carjacking:7; Truck hijacking:0,0.1412
Embalenhle,Gert Sibande District,Mpumalanga,83,Burglary at residential premises,46,Decreased,Robbery with aggravating circumstances:31; Burglary at residential premises:46; Theft of motor vehicle and motorcycle:5; Carjacking:1; Truck hijacking:0,0.1412
Elsies River,City of Cape Town District,Western Cape,83,Robbery with aggravating circumstances,38,Decreased,Robbery with aggravating circumstances:38; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:15; Carjacking:5; Truck hijacking:0,0.1412
Taylors Halt,Umgungundlovu District,KwaZulu-Natal,82,Burglary at residential premises,74,Increased,Robbery with aggravating circumstances:6; Burglary at residential premises:74; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:1,0.1393
Pretoria Moot,Tshwane District,Gauteng,81,Burglary at residential premises,35,Increased,Robbery with aggravating circumstances:12; Burglary at residential premises:35; Theft of motor vehicle and motorcycle:33; Carjacking:1; Truck hijacking:0,0.1373
Lichtenburg,Ngaka Modiri Molema District,North West,81,Burglary at residential premises,60,Increased,Robbery with aggravating circumstances:16; Burglary at residential premises:60; Theft of motor vehicle and motorcycle:5; Carjacking:0; Truck hijacking:0,0.1373
Joza,Sarah Baartman District,Eastern Cape,81,Burglary at residential premises,71,Increased,Robbery with aggravating circumstances:10; Burglary at residential premises:71; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.1373
Siyabuswa,Nkangala District,Mpumalanga,80,Burglary at residential premises,38,Decreased,Robbery with aggravating circumstances:37; Burglary at residential premises:38; Theft of motor vehicle and motorcycle:1; Carjacking:3; Truck hijacking:1,0.1354
Marikana,Bojanala District,North West,80,Burglary at residential premises,37,Increased,Robbery with aggravating circumstances:31; Burglary at residential premises:37; Theft of motor vehicle and motorcycle:10; Carjacking:2; Truck hijacking:0,0.1354
Pongola,Zululand District,KwaZulu-Natal,80,Burglary at residential premises,44,Decreased,Robbery with aggravating circumstances:35; Burglary at residential premises:44; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.1354
Mothibistad,John Taolo Gaetsewe District,Northern Cape,79,Burglary at residential premises,50,Decreased,Robbery with aggravating circumstances:26; Burglary at residential premises:50; Theft of motor vehicle and motorcycle:1; Carjacking:2; Truck hijacking:0,0.1335
Mmametlake,Nkangala District,Mpumalanga,78,Burglary at residential premises,44,Increased,Robbery with aggravating circumstances:30; Burglary at residential premises:44; Theft of motor vehicle and motorcycle:2; Carjacking:1; Truck hijacking:1,0.1315
Nongoma,Zululand District,KwaZulu-Natal,77,Burglary at residential premises,51,Stabilized,Robbery with aggravating circumstances:26; Burglary at residential premises:51; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.1296
Mdantsane,Buffalo City District,Eastern Cape,77,Burglary at residential premises,58,Decreased,Robbery with aggravating circumstances:18; Burglary at residential premises:58; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.1296
Khutsong,West Rand District,Gauteng,77,Burglary at residential premises,52,Increased,Robbery with aggravating circumstances:23; Burglary at residential premises:52; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.1296
Madeira,OR Tambo District,Eastern Cape,76,Robbery with aggravating circumstances,42,Decreased,Robbery with aggravating circumstances:42; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:7; Carjacking:4; Truck hijacking:0,0.1277
Barberton,Ehlanzeni District,Mpumalanga,76,Robbery with aggravating circumstances,34,Decreased,Robbery with aggravating circumstances:34; Burglary at residential premises:32; Theft of motor vehicle and motorcycle:6; Carjacking:4; Truck hijacking:0,0.1277
Mangaung,Mangaung District,Free State,76,Burglary at residential premises,47,Increased,Robbery with aggravating circumstances:22; Burglary at residential premises:47; Theft of motor vehicle and motorcycle:6; Carjacking:1; Truck hijacking:0,0.1277
Macassar,City of Cape Town District,Western Cape,75,Burglary at residential premises,48,Stabilized,Robbery with aggravating circumstances:21; Burglary at residential premises:48; Theft of motor vehicle and motorcycle:6; Carjacking:0; Truck hijacking:0,0.1257
Klipgat,Bojanala District,North West,75,Burglary at residential premises,45,Increased,Robbery with aggravating circumstances:27; Burglary at residential premises:45; Theft of motor vehicle and motorcycle:2; Carjacking:1; Truck hijacking:0,0.1257
Bredasdorp,Overberg District,Western Cape,74,Burglary at residential premises,64,Increased,Robbery with aggravating circumstances:9; Burglary at residential premises:64; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.1238
Umbumbulu,eThekwini District,KwaZulu-Natal,74,Robbery with aggravating circumstances,35,Increased,Robbery with aggravating circumstances:35; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:5; Carjacking:10; Truck hijacking:0,0.1238
Kuruman,John Taolo Gaetsewe District,Northern Cape,73,Burglary at residential premises,40,Increased,Robbery with aggravating circumstances:30; Burglary at residential premises:40; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:1,0.1219
Stutterheim,Amathole District,Eastern Cape,73,Burglary at residential premises,54,Increased,Robbery with aggravating circumstances:18; Burglary at residential premises:54; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.1219
Elukwatini,Gert Sibande District,Mpumalanga,73,Burglary at residential premises,48,Increased,Robbery with aggravating circumstances:19; Burglary at residential premises:48; Theft of motor vehicle and motorcycle:4; Carjacking:1; Truck hijacking:1,0.1219
Taung,Dr Ruth Segomotsi Mompati District,North West,72,Burglary at residential premises,46,Decreased,Robbery with aggravating circumstances:26; Burglary at residential premises:46; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.1199
Bethelsdorp,Nelson Mandela District,Eastern Cape,72,Burglary at residential premises,38,Decreased,Robbery with aggravating circumstances:29; Burglary at residential premises:38; Theft of motor vehicle and motorcycle:2; Carjacking:2; Truck hijacking:1,0.1199
Kanana,Dr Kenneth Kaunda District,North West,71,Robbery with aggravating circumstances,31,Decreased,Robbery with aggravating circumstances:31; Burglary at residential premises:31; Theft of motor vehicle and motorcycle:8; Carjacking:1; Truck hijacking:0,0.118
Libode,OR Tambo District,Eastern Cape,71,Burglary at residential premises,43,Increased,Robbery with aggravating circumstances:21; Burglary at residential premises:43; Theft of motor vehicle and motorcycle:2; Carjacking:5; Truck hijacking:0,0.118
Point,eThekwini District,KwaZulu-Natal,71,Robbery with aggravating circumstances,47,Increased,Robbery with aggravating circumstances:47; Burglary at residential premises:2; Theft of motor vehicle and motorcycle:21; Carjacking:1; Truck hijacking:0,0.118
Motherwell,Nelson Mandela District,Eastern Cape,70,Robbery with aggravating circumstances,40,Decreased,Robbery with aggravating circumstances:40; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:2; Carjacking:9; Truck hijacking:0,0.1161
Zwelitsha,Buffalo City District,Eastern Cape,70,Burglary at residential premises,52,Increased,Robbery with aggravating circumstances:14; Burglary at residential premises:52; Theft of motor vehicle and motorcycle:3; Carjacking:1; Truck hijacking:0,0.1161
Kwanonqaba,Garden Route District,Western Cape,69,Burglary at residential premises,49,Decreased,Robbery with aggravating circumstances:18; Burglary at residential premises:49; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.1141
Kliprivier,Sedibeng District,Gauteng,69,Robbery with aggravating circumstances,33,Stabilized,Robbery with aggravating circumstances:33; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:15; Carjacking:8; Truck hijacking:1,0.1141
Wonderboompoort,Tshwane District,Gauteng,69,Burglary at residential premises,39,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:39; Theft of motor vehicle and motorcycle:19; Carjacking:0; Truck hijacking:0,0.1141
Bothaville,Lejweleputswa District,Free State,69,Burglary at residential premises,41,Stabilized,Robbery with aggravating circumstances:26; Burglary at residential premises:41; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.1141
Heilbron,Fezile Dabi District,Free State,69,Burglary at residential premises,56,Increased,Robbery with aggravating circumstances:10; Burglary at residential premises:56; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:1,0.1141
Selosesha,Mangaung District,Free State,68,Burglary at residential premises,55,Increased,Robbery with aggravating circumstances:13; Burglary at residential premises:55; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.1122
Butterworth,Amathole District,Eastern Cape,68,Burglary at residential premises,43,Decreased,Robbery with aggravating circumstances:20; Burglary at residential premises:43; Theft of motor vehicle and motorcycle:3; Carjacking:1; Truck hijacking:1,0.1122
Robert Sobukwe,Sarah Baartman District,Eastern Cape,68,Burglary at residential premises,56,Decreased,Robbery with aggravating circumstances:9; Burglary at residential premises:56; Theft of motor vehicle and motorcycle:3; Carjacking:0; Truck hijacking:0,0.1122
Bolobedu,Mopani District,Limpopo,67,Burglary at residential premises,43,Increased,Robbery with aggravating circumstances:22; Burglary at residential premises:43; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.1103
Pacaltsdorp,Garden Route District,Western Cape,67,Burglary at residential premises,52,Increased,Robbery with aggravating circumstances:14; Burglary at residential premises:52; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.1103
Buffalo Flats,Buffalo City District,Eastern Cape,67,Burglary at residential premises,40,Decreased,Robbery with aggravating circumstances:25; Burglary at residential premises:40; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.1103
Lomanyaneng,Ngaka Modiri Molema District,North West,67,Burglary at residential premises,43,Increased,Robbery with aggravating circumstances:19; Burglary at residential premises:43; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:3,0.1103
Lehurutshe,Ngaka Modiri Molema District,North West,67,Burglary at residential premises,53,Increased,Robbery with aggravating circumstances:13; Burglary at residential premises:53; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.1103
Algoapark,Nelson Mandela District,Eastern Cape,67,Robbery with aggravating circumstances,40,Decreased,Robbery with aggravating circumstances:40; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:5; Carjacking:7; Truck hijacking:1,0.1103
Postmasburg,ZF Mgcawu District,Northern Cape,66,Burglary at residential premises,49,Decreased,Robbery with aggravating circumstances:14; Burglary at residential premises:49; Theft of motor vehicle and motorcycle:2; Carjacking:1; Truck hijacking:0,0.1083
Muldersdrift,West Rand District,Gauteng,65,Robbery with aggravating circumstances,31,Decreased,Robbery with aggravating circumstances:31; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:7; Carjacking:9; Truck hijacking:4,0.1064
Ndwedwe,Ilembe District,KwaZulu-Natal,65,Burglary at residential premises,39,Increased,Robbery with aggravating circumstances:21; Burglary at residential premises:39; Theft of motor vehicle and motorcycle:2; Carjacking:3; Truck hijacking:0,0.1064
Nigel,Ekurhuleni District,Gauteng,65,Burglary at residential premises,32,Increased,Robbery with aggravating circumstances:14; Burglary at residential premises:32; Theft of motor vehicle and motorcycle:17; Carjacking:2; Truck hijacking:0,0.1064
Northam,Waterberg District,Limpopo,65,Burglary at residential premises,47,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:47; Theft of motor vehicle and motorcycle:7; Carjacking:0; Truck hijacking:0,0.1064
Inyibiba,Buffalo City District,Eastern Cape,65,Burglary at residential premises,49,Decreased,Robbery with aggravating circumstances:14; Burglary at residential premises:49; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.1064
Manenberg,City of Cape Town District,Western Cape,64,Burglary at residential premises,33,Increased,Robbery with aggravating circumstances:19; Burglary at residential premises:33; Theft of motor vehicle and motorcycle:10; Carjacking:2; Truck hijacking:0,0.1044
Kopanong,Mangaung District,Free State,64,Burglary at residential premises,37,Decreased,Robbery with aggravating circumstances:25; Burglary at residential premises:37; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.1044
Mondlo,Zululand District,KwaZulu-Natal,64,Burglary at residential premises,48,Decreased,Robbery with aggravating circumstances:15; Burglary at residential premises:48; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.1044
Kriel,Nkangala District,Mpumalanga,64,Burglary at residential premises,41,Increased,Robbery with aggravating circumstances:15; Burglary at residential premises:41; Theft of motor vehicle and motorcycle:3; Carjacking:2; Truck hijacking:3,0.1044
Ngcobo,Chris Hani District,Eastern Cape,64,Burglary at residential premises,29,Stabilized,Robbery with aggravating circumstances:24; Burglary at residential premises:29; Theft of motor vehicle and motorcycle:7; Carjacking:4; Truck hijacking:0,0.1044
Mlungisi,Chris Hani District,Eastern Cape,63,Burglary at residential premises,47,Decreased,Robbery with aggravating circumstances:13; Burglary at residential premises:47; Theft of motor vehicle and motorcycle:2; Carjacking:1; Truck hijacking:0,0.1025
Folweni,eThekwini District,KwaZulu-Natal,63,Burglary at residential premises,28,Increased,Robbery with aggravating circumstances:27; Burglary at residential premises:28; Theft of motor vehicle and motorcycle:0; Carjacking:8; Truck hijacking:0,0.1025
Robertson,Cape Winelands District,Western Cape,63,Burglary at residential premises,46,Decreased,Robbery with aggravating circumstances:17; Burglary at residential premises:46; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.1025
Samora Machel,City of Cape Town District,Western Cape,63,Robbery with aggravating circumstances,40,Decreased,Robbery with aggravating circumstances:40; Burglary at residential premises:8; Theft of motor vehicle and motorcycle:5; Carjacking:10; Truck hijacking:0,0.1025
Mhluzi,Nkangala District,Mpumalanga,63,Burglary at residential premises,25,Decreased,Robbery with aggravating circumstances:18; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:12; Carjacking:8; Truck hijacking:0,0.1025
Mhala,Ehlanzeni District,Mpumalanga,63,Robbery with aggravating circumstances,30,Increased,Robbery with aggravating circumstances:30; Burglary at residential premises:30; Theft of motor vehicle and motorcycle:1; Carjacking:2; Truck hijacking:0,0.1025
Kamesh,Nelson Mandela District,Eastern Cape,63,Burglary at residential premises,35,Decreased,Robbery with aggravating circumstances:27; Burglary at residential premises:35; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.1025
Waterval,Vhembe District,Limpopo,62,Robbery with aggravating circumstances,32,Increased,Robbery with aggravating circumstances:32; Burglary at residential premises:28; Theft of motor vehicle and motorcycle:0; Carjacking:2; Truck hijacking:0,0.1006
Brackenfell,City of Cape Town District,Western Cape,62,Burglary at residential premises,36,Increased,Robbery with aggravating circumstances:10; Burglary at residential premises:36; Theft of motor vehicle and motorcycle:15; Carjacking:1; Truck hijacking:0,0.1006
Ezinqoleni,Ugu District,KwaZulu-Natal,62,Burglary at residential premises,29,Increased,Robbery with aggravating circumstances:25; Burglary at residential premises:29; Theft of motor vehicle and motorcycle:3; Carjacking:4; Truck hijacking:1,0.1006
Dundee,Umzinyathi District,KwaZulu-Natal,62,Burglary at residential premises,49,Decreased,Robbery with aggravating circumstances:13; Burglary at residential premises:49; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.1006
Phola,Nkangala District,Mpumalanga,62,Robbery with aggravating circumstances,31,Increased,Robbery with aggravating circumstances:31; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:4; Carjacking:9; Truck hijacking:1,0.1006
Ratanda,Sedibeng District,Gauteng,61,Burglary at residential premises,37,Decreased,Robbery with aggravating circumstances:22; Burglary at residential premises:37; Theft of motor vehicle and motorcycle:0; Carjacking:2; Truck hijacking:0,0.0986
Erasmia,Tshwane District,Gauteng,61,Burglary at residential premises,28,Increased,Robbery with aggravating circumstances:23; Burglary at residential premises:28; Theft of motor vehicle and motorcycle:2; Carjacking:8; Truck hijacking:0,0.0986
Port Edward,Ugu District,KwaZulu-Natal,61,Burglary at residential premises,47,Increased,Robbery with aggravating circumstances:9; Burglary at residential premises:47; Theft of motor vehicle and motorcycle:2; Carjacking:3; Truck hijacking:0,0.0986
Modimolle,Waterberg District,Limpopo,60,Burglary at residential premises,41,Increased,Robbery with aggravating circumstances:14; Burglary at residential premises:41; Theft of motor vehicle and motorcycle:4; Carjacking:1; Truck hijacking:0,0.0967
