SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score
BASSONIA,8,Theft,8,Theft:8,September,Tuesday,22,944673.71,118084.21,0,0.02857142857142857,0.08729908207309134,0.0579
BREAUNANDA,9,Theft,9,Theft:9,August,Saturday,12,842736.65,93637.41,0,0.0380952380952381,0.07749716872403901,0.0578
ANNLIN,9,Theft,8,Theft:8; Burglary:1,March,Thursday,13,835653.12,92850.35,0,0.0380952380952381,0.07681604110209846,0.0575
BAILEY`S MUCKLENEUK,8,Theft,7,Theft:7; Hijack:1,February,Thursday,3,927523.6,115940.45,0,0.02857142857142857,0.08564998711050642,0.0571
POLOKWANE SCHOOLS,14,Theft,14,Theft:14,May,Friday,14,329424.76,23530.34,0,0.08571428571428572,0.02813888169066493,0.0569
BAYVIEW,8,Theft,8,Theft:8,July,Friday,11,916715.46,114589.43,0,0.02857142857142857,0.08461071393797794,0.0566
KALK BAY,10,Theft,10,Theft:10,August,Saturday,9,716807.59,71680.76,0,0.047619047619047616,0.06538826805290321,0.0565
JUKSKEI PARK,12,Theft,12,Theft:12,June,Monday,14,507659.61,42304.97,0,0.06666666666666667,0.04527732530951501,0.056
DUDUZA,5,Hijack,4,Hijack:4; Theft:1,July,Sunday,20,1199978.61,239995.72,0,0.0,0.11184831379890793,0.0559
ZWARTKOP,9,Theft,9,Theft:9,February,Tuesday,17,801122.4,89013.6,0,0.0380952380952381,0.0734956870981632,0.0558
SHERWOOD,13,Theft,13,Theft:13,March,Thursday,1,405830.53,31217.73,0,0.0761904761904762,0.03548579494191645,0.0558
KAGISO,8,Theft,7,Theft:7; Hijack:1,October,Tuesday,12,897238.06,112154.76,0,0.02857142857142857,0.08273783485882036,0.0557
LYTTELTON AH,8,Theft,8,Theft:8,January,Sunday,11,896168.12,112021.02,0,0.02857142857142857,0.0826349531476087,0.0556
MONTANA PARK,9,Theft,7,Theft:7; Stolen and recovered:2,November,Thursday,19,794959.82,88328.87,0,0.0380952380952381,0.07290311482693423,0.0555
UMDLOTI BEACH,5,Theft,5,Theft:5,April,Friday,23,1177951.45,235590.29,0,0.0,0.10973025866129936,0.0549
RUSTENBURG OOS-EINDE,7,Theft,6,Theft:6; Hijack:1,October,Saturday,7,980944.66,140134.95,0,0.01904761904761905,0.09078677054466203,0.0549
GUGULETU,10,Theft,8,Theft:8; Hijack:1; Armed Robbery:1,February,Thursday,10,684381.22,76042.36,1,0.047619047619047616,0.0622702610300961,0.0549
NOORDHOEK,15,Theft,15,Theft:15,May,Monday,8,172078.52,11471.9,0,0.09523809523809523,0.01300901419910503,0.0541
BRACKENDOWNS,13,Theft,13,Theft:13,December,Sunday,10,367505.5,28269.65,0,0.0761904761904762,0.03180059327767549,0.054
LOEVENSTEIN,13,Theft,13,Theft:13,January,Friday,7,365218.82,28093.76,0,0.0761904761904762,0.03158071407753953,0.0539
