SUBURB,month,predicted_incidents,actual_incidents,absolute_error
SINOVILLE,2025-04,1.16,1,0.16
SINOVILLE,2025-10,1.17,1,0.17
SOMERSET WEST,2025-11,2.58,2,0.58
SOMERSET WEST,2025-12,2.6,2,0.6
SOMERSET WEST,2026-01,2.62,4,1.38
SOMERSET WEST,2026-02,2.64,2,0.64
SOMERSET WEST,2026-04,2.66,1,1.66
SOMERSET WEST,2026-05,2.68,5,2.32
ST FRANCIS BAY,2026-01,1.27,1,0.27
STAMFORD HILL,2025-12,1.5,1,0.5
STAMFORD HILL,2026-01,1.54,1,0.54
STAMFORD HILL,2026-05,1.58,2,0.42
STELLENBOSCH,2026-03,1.97,1,0.97
STELLENBOSCH,2026-04,1.97,1,0.97
STELLENBOSCH,2026-05,1.98,2,0.02
STELLENBOSCH,2026-06,1.98,1,0.98
STELLENBOSCH CENTRAL,2025-12,1.63,2,0.37
STELLENBOSCH CENTRAL,2026-02,1.66,2,0.34
STELLENBOSCH CENTRAL,2026-06,1.68,1,0.68
STELLENBOSCH NU,2026-05,1.34,1,0.34
STRAND,2025-09,2.07,2,0.07
STRAND,2025-10,2.08,1,1.08
STRAND,2025-11,2.09,2,0.09
STRAND,2025-12,2.1,1,1.1
STRAND,2026-01,2.12,1,1.12
STRAND,2026-02,2.13,1,1.13
STRAND,2026-03,2.14,1,1.14
STRUBENS VALLEY,2025-08,1.08,2,0.92
STRUBENS VALLEY,2025-12,1.07,2,0.93
SUMMERSTRAND,2025-11,0.88,2,1.12
SUMMERSTRAND,2025-12,0.82,1,0.18
SUMMERSTRAND,2026-05,0.76,1,0.24
SUNDOWNER,2025-12,0.83,1,0.17
SUNDOWNER,2026-04,0.8,1,0.2
SUNDOWNER,2026-06,0.77,1,0.23
SUNNINGDALE,2025-02,1.62,1,0.62
SUNNINGDALE,2025-04,1.6,3,1.4
SUNNINGDALE,2025-08,1.58,1,0.58
SUNNINGHILL,2026-06,1.18,1,0.18
SUNNYSIDE,2025-09,1.45,1,0.45
SUNWARD PARK,2025-11,0.96,1,0.04
SUNWARD PARK,2026-01,0.94,1,0.06
SUNWARD PARK,2026-03,0.93,1,0.07
SYDENHAM,2025-09,0.96,2,1.04
TABLE VIEW,2025-11,1.74,2,0.26
TABLE VIEW,2026-01,1.76,1,0.76
TABLE VIEW,2026-02,1.77,1,0.77
TABLE VIEW,2026-05,1.79,1,0.79
TAMBOERSKLOOF,2026-05,1.15,1,0.15
TAMBOERSKLOOF,2026-06,1.11,1,0.11
THE REEDS,2026-04,0.99,1,0.01
THREE RIVERS,2026-06,0.73,1,0.27
TOKAI,2026-01,1.12,1,0.12
TZANEEN,2025-04,1.62,2,0.38
